City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Vardo,NO,70.3705,31.1107,30.4,58,100,31.99,light snow
197,Mar Del Plata,AR,-38.0023,-57.5575,63.09,82,52,3.0,broken clouds
198,Saint-Paul,RE,-21.0096,55.2707,73.51,73,51,1.72,broken clouds
199,Nicoya,CR,10.1483,-85.452,72.95,92,100,3.31,overcast clouds
200,Mehamn,NO,71.0357,27.8492,33.42,63,100,27.72,light snow
201,Mbandaka,CD,0.0487,18.2603,70.56,98,80,2.8,light rain
202,Shu,KZ,43.5983,73.7614,35.74,57,30,6.35,scattered clouds
203,Bahadurganj,IN,26.2667,87.8167,64.45,60,8,2.17,clear sky
204,Nizhniy Kuranakh,RU,58.8353,125.4869,-3.96,99,100,1.54,overcast clouds
205,Tecoanapa,MX,16.5167,-98.75,80.55,76,25,6.87,scattered clouds
206,Escarcega,MX,18.6089,-90.7454,75.24,71,82,5.1,broken clouds
207,Teya,RU,60.3778,92.6267,18.88,92,100,6.46,overcast clouds
208,Port Elizabeth,ZA,-33.918,25.5701,66.09,87,45,15.52,light rain
209,Tuatapere,NZ,-46.1333,167.6833,69.82,54,67,5.21,broken clouds
210,Great Falls,US,47.5002,-111.3008,65.59,38,1,11.99,clear sky
211,Broken Hill,AU,-31.95,141.4333,90.86,24,7,17.76,clear sky
212,Alto Longa,BR,-5.2511,-42.2103,83.44,48,93,1.63,overcast clouds
213,Bahia Blanca,AR,-38.7196,-62.2724,67.41,64,36,7.38,light rain
214,Inta,RU,66.0317,60.1659,9.54,81,100,14.14,overcast clouds
215,Qui Nhon,VN,13.7667,109.2333,71.91,86,100,18.81,overcast clouds
216,Sitka,US,57.0531,-135.33,39.09,65,75,28.77,haze
217,The Valley,AI,18.217,-63.0578,82.26,76,69,18.95,broken clouds
218,Praya,CV,14.9215,-23.5087,74.57,68,100,16.51,overcast clouds
219,Gamut,PH,8.5303,126.2422,79.0,89,94,4.72,overcast clouds
220,Cap Malheureux,MU,-19.9842,57.6142,74.46,78,4,3.0,clear sky
221,Merbes-Le-Chateau,BE,50.3246,4.1661,42.15,84,99,4.0,overcast clouds
222,Manjacaze,MZ,-24.7117,33.8828,68.02,94,92,5.23,overcast clouds
223,Jamtara,IN,23.95,86.8,62.91,59,33,6.15,scattered clouds
224,Chapais,CA,49.7834,-74.8492,9.37,91,100,4.88,overcast clouds
225,Balabac,PH,7.9868,117.0645,82.24,74,97,3.51,moderate rain
226,Yar-Sale,RU,66.8333,70.8333,0.79,96,100,14.14,overcast clouds
227,Lewiston,US,44.1003,-70.2148,38.39,79,1,0.0,clear sky
228,Hovd,MN,48.0056,91.6419,14.99,62,0,1.81,clear sky
229,Canico,PT,32.6333,-16.85,65.71,81,40,1.01,scattered clouds
230,Qaqortoq,GL,60.7167,-46.0333,32.68,99,100,23.0,snow
231,Novyy Urengoy,RU,66.0833,76.6333,-3.39,97,100,10.71,overcast clouds
232,Tabasalu,EE,59.4303,24.5331,20.75,92,20,1.14,few clouds
233,Islahiye,TR,37.025,36.6306,38.98,61,25,3.74,scattered clouds
234,Zheleznodorozhnyy,RU,55.7503,38.0042,22.55,90,88,9.48,overcast clouds
235,San Vicente,AR,-26.6167,-54.1333,65.07,62,0,2.89,clear sky
236,Boyolangu,ID,-8.1181,111.8935,78.98,84,97,2.21,overcast clouds
237,Pingliang,CN,35.5392,106.6861,30.22,28,0,3.2,clear sky
238,Imeni Poliny Osipenko,RU,52.4201,136.4853,10.67,70,100,11.45,overcast clouds
239,Saint-Georges,GD,12.0564,-61.7485,80.65,79,100,16.91,overcast clouds
240,Limoux,FR,42.9167,2.1667,45.82,65,100,9.17,overcast clouds
241,Booue,GA,-0.0921,11.9385,73.45,97,100,1.59,moderate rain
242,Cascais,PT,38.6979,-9.4215,56.46,83,100,15.01,overcast clouds
243,Victor Harbor,AU,-35.5667,138.6167,80.19,72,100,1.99,overcast clouds
244,Aklavik,CA,68.2191,-135.0107,-18.71,96,100,8.61,overcast clouds
245,Nsanje,MW,-16.92,35.262,75.51,88,8,4.56,clear sky
246,Sri Aman,MY,1.2376,111.4621,77.2,88,93,0.87,overcast clouds
247,Sola,VU,-13.8833,167.55,86.67,70,20,2.3,few clouds
248,Ilulissat,GL,69.2167,-51.1,32.58,60,100,17.52,light snow
249,Port Blair,IN,11.6667,92.75,80.04,87,100,23.58,heavy intensity rain
250,Singapore,SG,1.2897,103.8501,80.46,77,40,16.11,scattered clouds
251,Santa Luzia,BR,-19.7697,-43.8514,67.6,94,41,0.13,scattered clouds
252,Tabou,CI,4.423,-7.3528,79.81,81,33,6.15,scattered clouds
253,Mnogovershinnyy,RU,53.9353,139.9242,13.1,91,100,28.81,snow
254,Ust-Nera,RU,64.5667,143.2,-45.29,100,70,4.63,broken clouds
255,Nuuk,GL,64.1835,-51.7216,32.16,91,82,6.42,light snow
256,Talnakh,RU,69.4865,88.3972,-23.75,99,45,4.25,scattered clouds
257,Mackay,AU,-21.15,149.2,89.69,68,0,5.88,clear sky
258,Pangai,TO,-19.8,-174.35,73.51,88,90,2.3,light rain
259,Yerbogachen,RU,61.2767,108.0108,-20.47,99,86,4.07,overcast clouds
260,Nemuro,JP,43.3236,145.575,34.23,53,21,29.8,few clouds
261,Maxixe,MZ,-23.8597,35.3472,71.89,88,39,9.93,scattered clouds
262,Nevsehir,TR,38.9167,34.6667,25.81,86,40,4.61,scattered clouds
263,Cuacnopalan,MX,18.8167,-97.5,57.36,74,83,7.11,broken clouds
264,Flinders,AU,-34.5833,150.8552,81.18,69,35,9.01,scattered clouds
265,Renqiu,CN,38.6989,116.0936,32.31,44,0,6.29,clear sky
266,Panama City,PA,8.9936,-79.5197,80.06,83,99,1.01,overcast clouds
267,Hasaki,JP,35.7333,140.8333,50.29,38,4,21.94,clear sky
268,Victoria,HK,22.2855,114.1577,62.26,47,72,1.01,broken clouds
269,Amahai,ID,-3.3333,128.9167,79.72,83,100,0.98,overcast clouds
270,Badou,TG,7.5833,0.6,74.88,60,98,2.42,overcast clouds
271,Tautira,PF,-17.7333,-149.15,86.02,77,100,20.0,overcast clouds
272,Kuruman,ZA,-27.4524,23.4325,64.99,60,71,7.11,light rain
273,Santiago,CL,-33.4569,-70.6483,71.85,41,0,5.75,clear sky
274,Waipawa,NZ,-41.4122,175.5153,65.03,64,99,12.91,overcast clouds
275,Carnaiba,BR,-8.7,-37.6667,84.74,44,99,16.4,overcast clouds
276,San Jose,US,37.3394,-121.895,76.59,45,20,0.0,haze
277,Ballina,AU,-28.8667,153.5667,76.78,85,65,12.57,broken clouds
278,Ahipara,NZ,-35.1667,173.1667,71.73,62,100,3.69,overcast clouds
279,Gladstone,AU,-23.85,151.25,88.79,74,75,4.61,broken clouds
280,Gigmoto,PH,13.7796,124.39,79.07,84,100,20.67,overcast clouds
281,Bandarbeyla,SO,9.4942,50.8122,75.31,62,0,14.18,clear sky
282,Kongolo,CD,-5.3833,27.0,68.13,97,69,2.37,broken clouds
283,Constitucion,CL,-35.3333,-72.4167,54.37,83,46,10.83,scattered clouds
284,Beyneu,KZ,45.3167,55.2,41.49,88,88,11.14,overcast clouds
285,Gillette,US,44.2911,-105.5022,59.95,36,1,11.5,clear sky
286,Hambantota,LK,6.1241,81.1185,75.09,86,18,3.76,few clouds
287,Emerald,AU,-23.5333,148.1667,85.33,58,0,9.55,clear sky
288,Marsa Matruh,EG,31.3525,27.2453,63.77,53,94,12.44,overcast clouds
289,Port Hardy,CA,50.6996,-127.4199,49.75,84,100,12.15,light rain
290,Bara,NG,10.3744,10.7288,76.03,22,63,8.99,broken clouds
291,Nanortalik,GL,60.1432,-45.2371,33.55,95,100,25.64,moderate rain
292,Morgantown,US,39.6295,-79.9559,46.31,89,90,6.91,overcast clouds
293,Coquimbo,CL,-29.9533,-71.3436,60.53,77,0,10.36,clear sky
294,Kodiak,US,57.79,-152.4072,15.31,79,90,24.16,snow
295,Gejiu,CN,23.306,103.1635,38.64,95,86,3.0,overcast clouds
296,Lexington,US,37.9887,-84.4777,57.15,66,75,6.91,broken clouds
297,Mayo,US,38.8876,-76.5119,53.24,73,90,1.99,overcast clouds
298,Oranjemund,NA,-28.55,16.4333,60.44,92,17,9.53,few clouds
299,Salinopolis,BR,-0.6136,-47.3561,81.27,79,100,11.99,overcast clouds
300,Eruwa,NG,7.5333,3.4167,75.79,89,39,4.83,scattered clouds
301,Hay River,CA,60.8156,-115.7999,4.96,85,90,4.61,light snow
302,Goderich,CA,43.7501,-81.7165,37.9,82,99,21.59,overcast clouds
303,Hami,CN,42.8,93.45,24.82,62,40,3.62,scattered clouds
304,Evanston,US,42.0411,-87.6901,47.1,88,90,5.01,overcast clouds
305,Nome,US,64.5011,-165.4064,-14.73,65,1,3.44,clear sky
306,Kashi,CN,39.4547,75.9797,24.08,48,0,1.07,clear sky
307,Panguna,PG,-6.3164,155.4848,83.62,55,96,2.82,overcast clouds
308,Itarema,BR,-2.9248,-39.9167,80.6,77,60,14.0,broken clouds
309,Dois Vizinhos,BR,-25.7336,-53.0572,66.31,68,0,4.61,clear sky
310,Chumikan,RU,54.7183,135.315,-8.57,91,100,19.39,overcast clouds
311,Maun,BW,-19.9833,23.4167,75.16,94,0,1.14,clear sky
312,Saint-Pierre,RE,-21.3393,55.4781,73.08,62,90,6.91,overcast clouds
313,Ujszasz,HU,47.3,20.0833,46.69,79,97,19.48,overcast clouds
314,Kodinsk,RU,58.6881,99.1844,10.33,95,100,3.94,light snow
315,Yuzhne,UA,46.6221,31.1013,32.22,65,29,6.73,scattered clouds
316,Axim,GH,4.8699,-2.2405,79.32,84,52,6.31,broken clouds
317,Christchurch,NZ,-43.5333,172.6333,62.91,75,90,10.0,overcast clouds
318,Viransehir,TR,37.2353,39.7631,43.47,56,3,9.75,clear sky
319,Faanui,PF,-16.4833,-151.75,77.68,82,100,17.27,heavy intensity rain
320,Hulan,CN,45.9833,126.6,20.57,80,91,17.74,overcast clouds
321,Ixtapa,MX,20.7,-105.2,79.83,78,20,6.91,few clouds
322,Serabu,SL,7.7958,-12.0536,74.19,98,77,4.83,heavy intensity rain
323,Halifax,CA,44.6453,-63.5724,38.68,88,23,5.99,few clouds
324,Bakchar,RU,57.0186,82.0711,19.24,80,100,9.22,overcast clouds
325,Hammerfest,NO,70.6634,23.6821,30.65,80,20,20.71,light snow
326,Torbay,CA,47.6666,-52.7314,38.57,83,90,8.05,overcast clouds
327,Leningradskiy,RU,69.3833,178.4167,-15.2,89,78,6.55,broken clouds
328,Olafsvik,IS,64.8945,-23.7142,32.88,96,100,27.56,snow
329,Maniwaki,CA,46.3834,-75.966,27.14,63,99,4.61,overcast clouds
330,Leh,IN,34.1667,77.5833,18.97,50,97,3.02,overcast clouds
331,Pevek,RU,69.7008,170.3133,-6.93,93,100,7.56,overcast clouds
332,Jalu,LY,29.0331,21.5482,57.33,66,91,4.65,overcast clouds
333,Fare,PF,-16.7,-151.0167,80.83,75,100,18.9,light rain
334,Grand Gaube,MU,-20.0064,57.6608,77.4,78,4,3.0,clear sky
335,Tromso,NO,69.6496,18.957,30.22,69,75,1.01,broken clouds
336,Quatre Cocos,MU,-20.2078,57.7625,77.11,77,23,12.57,few clouds
337,New Baltimore,US,42.6811,-82.7369,41.4,97,90,11.5,overcast clouds
338,Lapua,FI,62.9693,23.0088,16.11,98,39,3.04,scattered clouds
339,Namibe,AO,-15.1961,12.1522,71.11,78,97,3.2,light rain
340,Ijui,BR,-28.3878,-53.9147,75.22,58,4,8.61,clear sky
341,Blythe,US,33.6103,-114.5964,82.85,9,1,8.05,clear sky
342,Alta Floresta,BR,-9.8756,-56.0861,71.64,98,100,2.82,overcast clouds
343,Filingue,NE,14.3521,3.3168,77.43,16,31,8.84,scattered clouds
344,Trairi,BR,-3.2778,-39.2689,80.62,77,60,9.53,broken clouds
345,Aasiaat,GL,68.7098,-52.8699,31.71,74,100,8.08,light snow
